"name","edition","proddate","idno","cntry","c2weight","w6itq1","w6itq2","w6itq3","w6itq4","w6itq5","w6itq6","w6itq7","w6itq8","w6itq9","w6itq10","w6itq11","w6itq12","w6itq13","w6itq14","w6itq15","w6itq16","w6itq17","w6itq18","w6itq19","w6itq20","w6itq21","w6itq22","w6itq23","w6itq24","w6itq25","w6itq26","w6itq27","w6itq28","w6itq29","w6itq30","w6itq31","w6itq32","w6itq33","w6itq34","w6itq35","w6itq36","w6itq37","w6itq38","w6itq39","w6itq40","w6itq41","w6itq42","w6itq43","w6itq44","w6itq45","w6itq46","w6itq47","w6itq48","w6itq49","w6itq50","w6itq51","w6itq52","w6itq53_1","w6itq53_2","w6itq53_3","w6itq53_4","w6itq53_5","w6itq53_6","w6itq54","w6itq55","survlng","inwds","inwde","intdur","lastansw","surveycomp","fdwrkinc","uagent","device","gndr","agea","eduyrs","eisced","netusoft","mnactic","hincfel","hinctnta","mode","region"
"CRON2W6_IT_e01","1.0","11.07.2023",10687,"IT",0.9410598,4,6,8,8,2,4,4,4,4,4,4,1,1,1,3,2,2,2,2,2,4,4,2,4,3,2,2,2,1,1,5,4,2,2,3,2,2,9,6,5,5,5,7,2,8,6,6,10,9,10,10,2,5,2,5,5,1,5,2,2,"ITA",2023-03-01 16:01:13,2023-03-01 20:09:33,14900,"w6itq55",100,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36 Google-PageRenderer Google (+https://developers.google.com/+/web/snippet/)",2,1,31,16,4,5,1,2,77,2,"ITH"
"CRON2W6_IT_e01","1.0","11.07.2023",10875,"IT",0.3756183,3,5,1,1,7,6,6,1,1,1,4,1,1,9,9,9,3,5,5,3,3,2,3,4,4,4,4,1,1,1,3,3,99,3,1,1,1,7,1,2,5,4,10,5,5,8,99,10,10,6,6,2,5,1,5,3,1,5,3,2,"ITA",2023-02-22 11:01:33,2023-02-22 13:17:50,8177,"w6itq55",96,1,"Mozilla/5.0 (Linux; Android 11; M2004J19C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36",1,1,74,28,7,5,6,1,5,1,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",10898,"IT",0.45351478,4,5,5,5,3,2,4,7,7,7,3,1,1,1,3,2,2,4,2,2,5,2,4,3,3,2,2,1,1,3,4,3,1,1,3,1,1,6,6,1,5,3,8,3,7,8,9,10,10,8,8,1,4,2,5,4,4,5,1,1,"ITA",2023-03-01 16:01:39,2023-03-01 16:43:49,2530,"w6itq55",100,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36 Google-PageRenderer Google (+https://developers.google.com/+/web/snippet/)",2,2,24,19,6,1,2,2,88,2,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",11111,"IT",1.8722714,6,1,8,8,1,2,2,3,3,3,3,3,2,1,3,5,4,5,2,2,4,2,2,3,3,3,2,1,1,1,3,4,2,3,3,2,2,7,0,2,5,4,6,8,5,5,8,9,8,7,9,2,4,3,5,4,4,5,2,2,"ITA",2023-02-22 10:31:11,2023-02-22 10:40:48,577,"w6itq55",100,1,"Mozilla/5.0 (Linux; Android 11; Redmi Note 8T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36",1,2,53,8,2,5,1,2,88,1,"ITH"
"CRON2W6_IT_e01","1.0","11.07.2023",11314,"IT",0.46294612,9,66,8,8,7,7,7,7,7,7,2,3,3,3,2,2,4,4,4,3,3,3,3,2,2,2,2,1,1,3,3,3,3,3,3,3,3,6,2,6,1,1,5,5,6,5,7,5,5,5,5,3,4,2,3,1,1,4,3,1,"ITA",2023-03-01 16:01:36,2023-03-01 18:46:03,9867,"w6itq55",100,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36 Google-PageRenderer Google (+https://developers.google.com/+/web/snippet/)",2,2,47,18,7,5,1,3,77,2,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",11402,"IT",0.9104243,6,4,7,8,1,4,3,7,7,7,4,1,1,1,4,2,3,3,1,4,4,2,2,2,3,3,2,2,1,1,2,1,1,1,1,1,1,0,4,1,5,4,5,8,3,4,9,3,2,10,10,2,3,1,5,2,1,5,2,2,"ITA",2023-02-22 16:32:59,2023-02-22 16:40:22,443,"w6itq55",100,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1",1,2,19,14,4,5,2,2,88,1,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",11431,"IT",1.1359177,6,8,8,2,5,4,4,4,4,4,3,2,1,1,3,3,5,5,4,3,4,1,2,2,1,2,1,3,1,1,3,4,3,3,4,3,2,6,0,1,4,3,0,1,7,2,9,4,7,6,4,2,1,1,5,1,1,5,3,1,"ITA",2023-02-22 18:38:22,2023-02-22 18:45:56,454,"w6itq55",100,1,"Mozilla/5.0 (Linux; Android 12; SM-M515F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36",1,2,32,13,3,4,1,2,4,1,"ITI"
"CRON2W6_IT_e01","1.0","11.07.2023",11469,"IT",1.2767472,4,5,5,8,4,4,4,4,4,4,4,2,1,1,3,5,5,5,4,2,1,1,2,1,1,1,1,2,1,2,3,3,2,2,2,2,2,7,3,1,4,4,1,0,7,9,10,10,9,9,9,3,2,2,5,2,1,5,3,2,"ITA",2023-02-20 18:46:32,2023-02-20 18:53:03,391,"w6itq55",100,1,"Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-A125F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36",1,2,44,13,4,4,1,1,7,2,"ITI"
"CRON2W6_IT_e01","1.0","11.07.2023",11475,"IT",0.57867676,2,8,8,8,3,6,6,1,1,2,4,2,1,1,3,4,2,2,1,4,4,4,2,4,3,2,2,1,1,1,2,2,3,2,4,2,2,10,4,1,4,4,10,9,8,9,10,10,10,9,10,3,2,2,5,3,3,4,3,1,"ITA",2023-02-24 09:14:14,2023-02-24 09:25:38,684,"w6itq55",100,1,"Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-A025G) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/19.0 Chrome/102.0.5005.125 Mobile Safari/537.36",1,1,61,13,4,5,1,2,7,1,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",11487,"IT",0.4337183,1,2,8,8,1,99,99,99,99,99,4,1,1,1,3,5,2,2,1,4,4,4,1,4,4,3,3,2,1,3,3,3,2,2,3,3,3,10,1,3,5,5,7,7,4,7,8,9,9,9,9,3,2,1,5,2,2,5,3,1,"ITA",2023-03-01 16:25:03,2023-03-01 16:39:52,889,"w6itq55",90,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",1,2,49,18,7,5,1,1,77,2,"ITH"
"CRON2W6_IT_e01","1.0","11.07.2023",11569,"IT",0.48885185,4,6,5,5,1,2,1,4,5,5,4,2,1,1,3,2,3,3,2,3,4,3,2,3,3,3,3,2,1,1,4,3,3,2,3,2,2,9,7,2,4,4,6,5,7,8,8,10,10,9,9,3,2,2,4,2,2,4,2,1,"ITA",2023-02-24 09:25:40,2023-02-24 09:34:51,551,"w6itq55",100,1,"Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:109.0) Gecko/20100101 Firefox/110.0",2,1,33,15,5,5,1,2,88,1,"ITF"
"CRON2W6_IT_e01","1.0","11.07.2023",11916,"IT",0.92039084,1,2,5,3,4,4,1,7,4,4,2,3,3,2,2,3,5,5,5,1,1,1,2,2,3,3,3,3,3,1,3,3,3,3,4,4,2,5,1,3,5,4,5,5,6,6,8,10,10,10,10,2,2,2,5,5,1,5,2,2,"ITA",2023-02-21 11:58:27,2023-02-21 12:11:25,778,"w6itq55",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",2,1,66,15,6,5,4,4,1,1,"ITI"
"CRON2W6_IT_e01","1.0","11.07.2023",11956,"IT",0.81170166,1,2,99,99,1,1,1,1,1,1,4,2,1,1,2,4,3,3,2,1,3,2,1,4,4,3,2,2,1,9,4,3,2,2,3,3,3,9,6,3,4,4,7,7,7,9,10,10,10,10,10,3,3,2,5,2,2,5,3,2,"ITA",2023-02-22 11:08:55,2023-02-22 11:31:30,1355,"w6itq55",94,1,"Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-A505FN) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/20.0 Chrome/106.0.5249.126 Mobile Safari/537.36",1,2,54,13,5,5,1,1,7,1,"ITI"
"CRON2W6_IT_e01","1.0","11.07.2023",12101,"IT",0.6244688,5,6,7,7,3,7,3,7,7,7,4,3,1,1,4,5,1,1,1,2,5,2,2,1,2,2,3,3,1,3,3,3,3,3,4,1,1,0,0,1,3,3,10,10,6,6,6,6,6,10,10,3,3,3,5,5,3,5,3,2,"ITA",2023-03-01 16:02:26,2023-03-15 15:45:11,1208565,"w6itq55",100,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36 Google-PageRenderer Google (+https://developers.google.com/+/web/snippet/)",2,1,47,13,4,5,4,2,5,1,"ITF"
"CRON2W6_IT_e01","1.0","11.07.2023",12155,"IT",0.5021002,1,5,8,8,4,4,4,4,4,4,4,1,1,1,3,5,2,5,4,3,5,1,2,3,2,3,2,2,2,1,4,4,3,4,5,4,3,10,0,6,5,4,7,0,8,9,3,7,8,7,10,2,1,1,5,1,1,4,2,2,"ITA",2023-02-23 11:30:16,2023-02-23 11:40:50,634,"w6itq55",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",2,1,64,15,5,5,6,1,6,1,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",12424,"IT",1.611901,8,4,8,8,1,1,7,7,3,5,3,3,2,4,3,2,2,3,4,2,3,4,4,9,1,1,2,3,3,2,3,3,3,3,4,99,2,3,4,6,5,3,6,3,5,6,4,7,7,5,6,2,5,5,3,1,2,3,1,2,"ITA",2023-02-22 10:30:29,2023-03-08 22:51:46,1254077,"w6itq55",96,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36 Google-PageRenderer Google (+https://developers.google.com/+/web/snippet/)",2,1,38,13,77,4,1,7,77,2,"ITI"
"CRON2W6_IT_e01","1.0","11.07.2023",12473,"IT",0.8255104,4,5,8,8,2,3,3,3,4,3,4,2,2,2,2,1,3,3,4,2,4,3,3,3,3,3,3,3,1,1,3,3,2,4,4,3,3,7,4,4,4,3,7,3,7,8,10,7,7,8,6,3,4,3,4,4,3,4,1,2,"ITA",2023-03-01 16:02:11,2023-03-10 18:46:47,787476,"w6itq55",100,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36 Google-PageRenderer Google (+https://developers.google.com/+/web/snippet/)",2,1,23,11,3,4,1,1,77,2,"ITH"
"CRON2W6_IT_e01","1.0","11.07.2023",12499,"IT",0.39499354,1,6,5,99,1,99,99,99,99,99,3,3,2,1,2,5,3,3,2,2,4,2,3,3,3,2,1,3,1,3,3,3,2,2,3,1,1,8,5,1,5,4,9,8,6,1,8,10,10,10,10,3,2,2,5,4,4,5,2,2,"ITA",2023-03-01 16:01:04,2023-03-03 11:29:45,156521,"w6itq55",88,1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36 Google-PageRenderer Google (+https://developers.google.com/+/web/snippet/)",2,1,58,13,4,5,1,1,7,1,"ITH"
"CRON2W6_IT_e01","1.0","11.07.2023",12571,"IT",0.3533435,4,2,6,6,1,2,1,7,7,7,4,1,1,1,3,5,1,1,2,4,4,2,2,4,4,4,4,1,1,1,5,2,1,2,2,3,1,10,10,2,5,3,9,10,6,8,9,9,10,10,10,3,4,4,5,4,3,5,1,1,"ITA",2023-02-22 15:16:14,2023-02-22 15:20:41,267,"w6itq55",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",2,1,30,21,7,5,1,1,88,1,"ITH"
"CRON2W6_IT_e01","1.0","11.07.2023",12592,"IT",0.42660925,1,6,8,5,1,6,6,6,7,7,4,1,1,1,4,5,2,3,2,2,5,2,4,4,3,4,4,1,1,1,2,2,2,2,3,1,1,0,9,1,3,3,10,10,0,5,10,10,10,10,10,3,3,1,5,3,1,5,3,2,"ITA",2023-02-22 10:39:47,2023-02-22 10:49:38,591,"w6itq55",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",2,1,47,20,7,5,1,1,4,1,"ITI"
"CRON2W6_IT_e01","1.0","11.07.2023",12633,"IT",0.72258127,1,6,5,6,2,2,1,6,7,6,4,2,1,1,3,1,3,3,3,3,5,2,2,3,3,4,4,3,1,1,3,3,2,3,3,2,2,9,8,3,4,2,8,7,7,7,5,7,8,8,8,2,2,1,5,2,2,5,2,1,"ITA",2023-02-23 15:41:15,2023-02-23 15:52:36,681,"w6itq55",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",2,1,58,17,4,5,1,1,7,2,"ITI"
"CRON2W6_IT_e01","1.0","11.07.2023",12689,"IT",0.7591674,6,5,99,3,6,7,3,5,6,6,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,0,0,3,5,5,5,4,6,6,9,6,6,6,6,2,2,2,2,2,2,2,3,2,"ITA",2023-02-22 16:06:15,2023-02-22 16:14:52,517,"w6itq55",98,1,"Mozilla/5.0 (Linux; Android 12; RMX3085) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36",1,2,40,18,4,5,1,2,77,2,"ITG"
"CRON2W6_IT_e01","1.0","11.07.2023",12722,"IT",1.6613439,1,2,8,8,6,99,99,99,99,99,4,2,2,2,3,1,3,3,3,3,2,3,3,3,3,3,3,9,9,9,3,3,3,3,3,3,3,7,99,3,5,4,5,99,7,2,10,10,10,10,10,4,1,1,5,1,1,5,2,9,"ITA",2023-03-04 17:14:47,2023-03-04 17:23:27,520,"w6itq54",78,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",1,2,37,16,6,5,3,2,4,2,"ITI"
"CRON2W6_IT_e01","1.0","11.07.2023",12788,"IT",0.38067755,5,6,8,8,1,99,99,99,99,99,4,4,1,1,3,1,3,2,2,3,3,3,3,4,4,3,3,2,1,1,1,2,1,3,2,1,1,3,4,3,5,5,3,3,8,8,9,10,9,6,7,3,4,3,5,1,1,5,3,9,"ITA",2023-02-22 11:33:04,2023-02-22 11:41:02,478,"w6itq54",88,1,"Mozilla/5.0 (Linux; Android 9; POT-LX1A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36",1,2,58,14,4,5,1,2,2,2,"ITH"
"CRON2W6_IT_e01","1.0","11.07.2023",12794,"IT",0.45976207,1,6,1,1,6,1,1,6,6,6,2,3,2,2,2,5,5,5,5,3,3,3,2,1,1,2,3,2,1,2,3,3,3,3,3,1,1,10,0,4,4,2,0,0,7,8,10,9,7,10,9,3,1,1,4,1,1,5,3,2,"ITA",2023-03-01 16:02:20,2023-03-01 16:10:04,464,"w6itq55",100,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Mobile/15E148 Safari/604.1",1,1,43,18,7,5,4,1,7,1,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",13108,"IT",0.40021035,1,6,8,8,4,2,2,2,4,4,5,6,6,6,6,6,4,4,5,66,66,66,66,1,1,4,4,1,2,1,4,4,4,2,3,4,3,0,0,1,5,4,5,5,8,10,10,10,10,10,10,2,4,2,5,4,4,5,3,2,"ITA",2023-03-13 11:26:11,2023-03-13 11:35:57,586,"w6itq55",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",2,1,25,19,7,5,1,2,77,1,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",13142,"IT",1.1691675,1,2,5,8,4,2,4,4,4,4,3,2,2,1,4,1,3,4,2,3,4,2,3,1,2,3,4,1,1,3,4,3,1,1,3,3,3,3,0,4,5,4,2,5,8,7,7,5,5,8,5,2,1,1,4,3,2,4,2,2,"ITA",2023-02-22 17:15:15,2023-02-22 17:22:23,428,"w6itq55",100,1,"Mozilla/5.0 (Linux; Android 12; M2101K7BNY) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36",1,2,36,18,7,5,1,1,5,1,"ITC"
"CRON2W6_IT_e01","1.0","11.07.2023",13156,"IT",0.3735142,5,8,8,5,1,5,5,5,5,5,4,1,1,1,3,2,1,1,1,5,5,2,2,4,2,4,3,2,1,1,5,2,2,3,4,2,2,7,10,3,4,2,8,8,9,7,9,9,9,8,10,3,5,3,5,4,4,5,3,1,"ITA",2023-03-03 09:31:53,2023-03-03 09:46:58,905,"w6itq55",100,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1",1,1,54,18,7,5,1,1,7,1,"ITF"
"CRON2W6_IT_e01","1.0","11.07.2023",13182,"IT",1.0506264,5,4,99,8,1,4,2,2,2,2,4,1,1,1,2,2,1,1,1,5,5,5,2,3,3,2,2,1,1,1,3,3,2,2,3,3,3,7,1,3,5,2,8,8,10,10,10,10,10,10,10,3,2,2,5,2,2,5,2,1,"ITA",2023-03-15 12:38:43,2023-03-15 12:54:21,938,"w6itq55",98,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1",1,1,68,22,6,5,6,1,4,2,"ITC"
