"name","edition","proddate","idno","cntry","c2weight","mode","w5q1","w5q2","w5q3","w5q4","w5q5","w5q6","w5q7","w5q8","w5q9","w5q10","w5q11","w5q12","w5q13","w5q14","w5q15","w5q16","w5q17","w5q18","w5q19","w5q20","w5q21","w5q22","w5q23","w5q24","w5q25","w5q26","w5q27","w5q28","w5q29","w5q30","w5q31","w5q32","w5q33","w5q34","w5q35","w5q36","w5q37","w5q38","w5q39","w5q40","w5q41","w5q42","w5q43","w5q44","w5q45","w5admin","w5q46","w5q47","w5q48","w5q49","w5q50","w5q51","w5q52","w5q53","w5q54","w5q55","w5q56","w5q57","w5q58","w5q69b","w5q68b","w5q67b","w5q66b","w5q69a","w5q68a","w5q67a","w5q66a","w5q65","w5q64","w5q63","w5q62","w5q61","w5q60","w5q59","w5q70","w5q71","w5q72","w5q73","w5q74","w5q75","w5q76","w5q77","w5q78","w5q79","w5q80","w5q81","w5q82","survlng","inwds","inwde","w5ininwe","w5tsinwe","w5osinwe","w5cdinwe","w5ipinwe","w5vainwe","w5scinwe","w5fwinwe","w5indur","w5tsdur","w5ostdur","w5covdur","w5incdur","w5vacdur","w5scdur","w5findur","intdur","lastansw","surveycomp","fdwrkinc","uagent","device","fl_21_do_incomegeneratingprocessa","fl_21_do_incomegeneratingprocessb","fl_25_do_surveyclimatea","fl_25_do_surveyclimateb","longitudinalfinancialwell_being_do_w5q73","longitudinalfinancialwell_being_do_w5q74","longitudinalfinancialwell_being_do_w5q75","longitudinalfinancialwell_being_do_w5q76","longitudinalfinancialwell_being_do_w5q77","longitudinalfinancialwell_being_do_w5q78","longitudinalfinancialwell_being_do_w5q79","gndr","agea","eduyrs","eisced","netusoft","mnactic","hincfel","hinctnta","region"
"CRON2W5e01","1.0","28.03.2024",10581,"AT",1.6966499,3,6,4,7,99,5,2,1,99,2,5,1,8,4,1,2,0,3,4,3,5,0,1,1,1,1,5,0,0,0,0,7,9,1,2,1,3,4,1,2,2,3,1,1,2,2,1,1,1,2,6,2,5,4,4,3,3,1,3,9,1,1,1,1,6,6,6,6,2,4,0,0,0,0,0,3,4,6,3,4,5,4,3,2,2,3,1,3,"GER",2022-11-30 12:07:04,2022-11-30 12:25:10,2022-11-30 12:07:17,2022-11-30 12:10:07,2022-11-30 12:12:37,2022-11-30 12:16:36,2022-11-30 12:19:57,2022-11-30 12:22:20,2022-11-30 12:22:55,2022-11-30 12:24:55,13,170,150,239,201,143,35,120,1071,"w5q84",94.93671,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/93.0.0.0",2,1,,1,,4,7,2,6,5,1,3,1,66,13,3,5,6,2,5,"AT13"
"CRON2W5e01","1.0","28.03.2024",10584,"AT",0.9341176,3,99,8,9,7,8,9,9,8,8,3,1,3,10,7,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,7,5,5,3,2,4,4,3,3,2,1,7,7,2,1,1,2,2,4,3,3,3,3,4,2,4,4,6,6,6,6,1,1,1,0,1,4,3,4,1,6,1,6,7,1,1,2,3,1,3,3,2,3,2,3,"GER",2022-11-23 18:30:40,2022-11-23 18:59:20,2022-11-23 18:30:43,2022-11-23 18:34:38,2022-11-23 18:37:11,2022-11-23 18:51:08,2022-11-23 18:55:11,2022-11-23 18:56:52,2022-11-23 18:57:18,2022-11-23 18:59:06,3,235,153,837,243,101,26,108,1706,"w5q84",98.73418,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.56",2,,1,1,,1,2,5,7,3,6,4,2,56,16,4,5,1,2,7,"AT13"
"CRON2W5e01","1.0","28.03.2024",10736,"AT",0.46981367,4,7,7,4,5,4,4,8,8,7,6,7,7,7,2,6,1,1,1,2,3,4,2,1,1,4,2,2,4,1,1,1,6,6,4,2,4,2,2,2,2,2,1,1,7,7,1,2,2,2,2,3,4,4,4,3,4,3,4,3,6,6,6,6,1,0,1,1,1,4,4,4,1,6,1,3,5,3,2,3,2,2,3,2,2,2,4,3,"GER",2022-11-30 10:04:03,2022-11-30 10:21:18,2022-11-30 10:04:14,2022-11-30 10:06:48,2022-11-30 10:09:43,2022-11-30 10:13:18,2022-11-30 10:16:43,2022-11-30 10:18:38,2022-11-30 10:19:13,2022-11-30 10:21:00,11,154,175,215,205,115,35,107,1017,"w5q84",100,1,"Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-A528B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/19.0 Chrome/102.0.5005.125 Mobile Safari/537.36",1,1,,1,,6,4,3,5,1,7,2,1,67,11,3,2,6,2,7,"AT22"
"CRON2W5e01","1.0","28.03.2024",10833,"AT",0.82112706,3,0,4,3,99,2,3,5,99,99,10,8,99,10,10,0,2,0,2,9,0,0,0,2,0,0,4,0,0,0,0,1,7,3,6,6,3,9,3,3,3,2,4,1,7,7,2,2,1,2,7,7,7,4,2,3,3,2,2,2,1,1,1,1,6,6,6,6,2,3,3,4,4,6,1,4,7,2,1,1,4,1,4,9,4,3,2,3,"GER",2022-11-23 17:16:25,2022-11-23 17:42:25,2022-11-23 17:16:35,2022-11-23 17:20:35,2022-11-23 17:25:08,2022-11-23 17:32:14,2022-11-23 17:36:53,2022-11-23 17:39:19,2022-11-23 17:39:49,2022-11-23 17:42:02,10,240,273,426,279,146,30,133,1537,"w5q84",91.139244,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",1,,1,1,,1,2,7,3,5,6,4,2,39,12,3,5,8,2,5,"AT12"
"CRON2W5e01","1.0","28.03.2024",10865,"AT",1.8993176,3,8,8,8,4,6,9,7,7,6,6,3,7,8,5,3,1,1,0,1,0,2,1,3,3,0,4,0,0,0,0,2,5,6,3,2,3,1,2,3,2,2,2,1,5,4,2,1,2,3,4,2,1,4,3,2,4,2,4,3,6,6,6,6,1,1,1,1,1,3,2,4,2,6,1,4,6,5,1,1,2,1,3,3,2,4,2,3,"GER",2022-11-23 10:13:05,2022-11-23 10:35:03,2022-11-23 10:13:07,2022-11-23 10:15:58,2022-11-23 10:17:51,2022-11-23 10:21:08,2022-11-23 10:30:26,2022-11-23 10:31:59,2022-11-23 10:32:37,2022-11-23 10:34:48,2,171,113,197,558,93,38,131,1303,"w5q84",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.116 Safari/537.36 Edg/83.0.478.61",2,,1,,1,6,1,4,7,2,3,5,1,54,16,7,5,1,1,8,"AT34"
"CRON2W5e01","1.0","28.03.2024",11244,"AT",0.30126867,3,5,8,8,8,8,9,8,9,9,10,4,9,9,10,9,4,2,2,0,4,1,0,0,0,0,4,0,0,0,0,3,2,4,5,6,4,5,3,3,4,4,1,1,7,6,2,1,1,2,0,1,6,5,1,3,3,4,3,4,6,6,6,6,6,6,6,6,9,4,4,3,1,6,1,4,5,2,1,1,1,2,3,4,1,3,3,3,"GER",2022-11-23 10:06:44,2022-11-23 10:22:06,2022-11-23 10:06:54,2022-11-23 10:09:11,2022-11-23 10:11:39,2022-11-23 10:14:51,2022-11-23 10:18:00,2022-11-23 10:19:12,2022-11-23 10:19:42,2022-11-23 10:21:48,10,137,148,192,189,72,30,126,904,"w5q84",98.73418,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.107 Safari/537.36",2,,1,1,,7,1,3,4,5,2,6,2,47,15,5,5,1,1,6,"AT13"
"CRON2W5e01","1.0","28.03.2024",11317,"AT",0.73420364,3,8,8,8,7,7,8,9,8,8,5,8,8,9,9,9,2,1,1,1,1,1,1,2,0,1,6,0,0,0,0,6,6,7,2,4,3,4,3,3,3,3,2,1,6,6,1,1,1,2,7,5,5,4,5,3,3,3,3,3,6,6,6,6,1,0,1,1,1,4,4,4,4,6,1,7,7,1,2,1,2,2,3,3,3,3,2,3,"GER",2022-11-23 12:02:24,2022-11-23 12:16:42,2022-11-23 12:02:27,2022-11-23 12:04:38,2022-11-23 12:06:43,2022-11-23 12:10:49,2022-11-23 12:13:40,2022-11-23 12:14:49,2022-11-23 12:15:06,2022-11-23 12:16:27,3,131,125,246,171,69,17,81,843,"w5q84",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52",2,1,,1,,5,7,6,3,2,4,1,2,45,18,3,5,2,1,10,"AT21"
"CRON2W5e01","1.0","28.03.2024",11319,"AT",0.99686986,3,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,9,9,9,9,9,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"GER",2022-12-04 13:56:14,2022-12-04 13:56:33,2022-12-04 13:56:23,,,,,,,,9,,,,,,,,9,"w5q1",1.2658228,1,"Mozilla/5.0 (iPad; CPU OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1",3,,,,,,,,,,,,1,81,9,3,3,6,2,5,"AT13"
"CRON2W5e01","1.0","28.03.2024",11362,"AT",1.1277658,4,8,5,7,7,7,8,8,8,8,7,5,7,7,9,10,5,4,5,4,4,2,3,2,2,1,2,3,2,1,2,4,2,3,4,4,2,3,4,1,2,3,1,3,5,3,2,1,3,3,3,3,3,3,2,3,3,2,4,3,0,0,1,0,6,6,6,6,2,2,2,1,2,6,1,6,4,4,3,3,3,3,3,4,4,3,3,4,"GER",2022-12-14 18:00:06,2022-12-14 18:04:59,2022-12-14 18:00:10,2022-12-14 18:00:59,2022-12-14 18:01:48,2022-12-14 18:02:45,2022-12-14 18:03:37,2022-12-14 18:04:07,2022-12-14 18:04:20,2022-12-14 18:04:44,4,49,49,57,52,30,13,24,278,"w5q84",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 Edg/108.0.1462.46",2,,1,1,,3,7,2,6,5,1,4,1,27,10,3,4,1,2,7,"AT22"
"CRON2W5e01","1.0","28.03.2024",11433,"AT",0.34163713,3,8,8,7,6,7,9,7,7,7,5,6,7,10,10,4,2,1,1,0,0,1,1,0,0,2,2,1,0,0,0,1,4,4,3,5,3,1,3,3,3,2,1,1,7,7,2,1,2,2,7,4,4,3,4,3,3,3,3,3,0,1,0,1,6,6,6,6,2,4,4,4,3,6,1,5,7,2,1,1,1,1,4,3,2,3,2,2,"GER",2022-11-23 22:47:11,2022-11-23 23:01:43,2022-11-23 22:47:14,2022-11-23 22:49:25,2022-11-23 22:51:47,2022-11-23 22:54:45,2022-11-23 22:58:21,2022-11-23 22:59:49,2022-11-23 23:00:07,2022-11-23 23:01:30,3,131,142,178,216,88,18,83,859,"w5q84",100,1,"Mozilla/5.0 (Linux; Android 12; SAMSUNG SM-G970F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/19.0 Chrome/102.0.5005.125 Mobile Safari/537.36",1,,1,1,,4,2,7,6,5,1,3,2,41,22,7,5,1,1,8,"AT11"
"CRON2W5e01","1.0","28.03.2024",11634,"AT",1.7237297,4,5,7,7,7,7,8,9,8,9,7,3,6,7,9,4,4,3,2,0,3,2,2,0,0,0,6,0,0,0,0,6,3,5,2,2,3,1,2,1,2,1,3,1,7,7,2,2,1,2,2,5,6,3,2,3,4,1,1,4,6,6,6,6,1,1,1,1,1,3,3,2,1,6,1,3,4,4,3,1,3,3,3,2,2,4,2,3,"GER",2022-11-26 12:52:08,2022-11-26 13:16:58,2022-11-26 12:54:26,2022-11-26 12:57:20,2022-11-26 13:00:32,2022-11-26 13:06:07,2022-11-26 13:10:32,2022-11-26 13:13:21,2022-11-26 13:14:20,2022-11-26 13:16:41,138,174,192,335,265,169,59,141,1473,"w5q84",100,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:107.0) Gecko/20100101 Firefox/107.0",2,,1,,1,3,7,6,4,1,2,5,1,53,12,3,5,99,3,7,"AT12"
"CRON2W5e01","1.0","28.03.2024",11649,"AT",0.46500897,4,5,5,5,5,5,5,4,2,3,2,2,3,1,3,7,6,6,6,4,5,3,3,5,2,5,6,5,4,6,3,5,1,1,7,7,1,5,3,3,5,5,5,5,1,4,1,1,3,3,0,1,1,5,1,3,5,5,3,3,1,1,0,1,6,6,6,6,2,4,2,3,0,1,0,6,4,4,1,1,5,5,1,1,1,3,1,1,"GER",2022-11-23 09:33:13,2022-11-23 10:09:31,2022-11-23 09:33:16,2022-11-23 09:44:03,2022-11-23 09:45:25,2022-11-23 09:47:28,2022-11-23 10:06:34,2022-11-23 10:07:56,2022-11-23 10:08:18,2022-11-23 10:09:21,3,647,82,123,1146,82,22,63,2168,"w5q84",100,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",1,1,,,1,4,2,5,6,7,1,3,2,28,12,3,5,1,3,3,"AT12"
"CRON2W5e01","1.0","28.03.2024",11682,"AT",0.8928309,4,8,8,8,6,9,9,6,5,7,5,1,4,8,5,2,3,0,1,1,2,1,0,0,1,0,6,1,1,0,0,7,7,1,7,7,1,1,1,3,3,3,1,1,1,1,2,1,1,2,0,3,6,4,1,3,3,1,3,2,1,1,1,0,6,6,6,6,2,0,1,1,0,0,0,5,4,4,2,2,3,4,4,2,9,3,2,2,"GER",2022-11-26 09:20:29,2022-11-26 09:36:49,2022-11-26 09:20:33,2022-11-26 09:22:25,2022-11-26 09:23:50,2022-11-26 09:30:50,2022-11-26 09:34:12,2022-11-26 09:35:13,2022-11-26 09:35:29,2022-11-26 09:36:40,4,112,85,420,202,61,16,71,971,"w5q84",98.73418,1,"Mozilla/5.0 (Linux; Android 10; MAR-LX1A Build/HUAWEIMAR-L21A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/107.0.5304.105 Mobile Safari/537.36 EdgW/1.0",1,,1,,1,7,2,5,4,3,1,6,2,58,14,5,5,1,2,3,"AT33"
"CRON2W5e01","1.0","28.03.2024",12005,"AT",0.80510426,3,5,6,9,4,6,10,8,8,7,4,7,10,10,8,7,2,2,1,1,2,3,3,3,2,3,1,0,0,0,0,2,5,4,2,2,3,2,2,2,2,2,1,1,6,6,2,3,3,2,6,4,3,2,5,1,4,2,3,3,6,6,6,6,0,1,0,0,1,4,3,4,0,6,1,4,4,4,2,1,2,1,4,4,3,4,3,4,"GER",2022-11-23 09:20:44,2022-11-23 09:37:14,2022-11-23 09:21:11,2022-11-23 09:22:39,2022-11-23 09:23:51,2022-11-23 09:25:40,2022-11-23 09:34:52,2022-11-23 09:35:43,2022-11-23 09:36:00,2022-11-23 09:36:59,27,88,72,109,552,51,17,59,975,"w5q84",100,1,"Mozilla/5.0 (Linux; Android 12; M2101K6G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Mobile Safari/537.36",1,,1,,1,1,2,7,3,6,5,4,1,44,15,4,5,1,1,10,"AT12"
